author,id,followers,community,doc_nb,word_nb,char_nb,doc_ids
citizensclimate,123231225, 16078,C5,  1,   9,   61,719578416362713088
ClimateReality,16958346,403775,C2,  1,  18,  103,980544595464474625
CLIME_IT,3290005917,  5407,C2,  1,   7,   43,984319007116447744
ECOWARRIORSS,2184934963,  6322,C2,  1,  42,  254,1051599708802768898
IFADnews,36924745, 51607,C2,  1,   5,   36,782563349372493824
Impakterdotcom,2507144761,  8251,C2,  1,  18,  103,980545307426553856
jjauthor,177584156,194760,C3,  1,   9,  100,1062954973456084994
MollyJongFast,14298769,  8528,C1,  1,  16,  111,869889750358007809
OTHER_USERS,0,     0,C0,174,2840,18952,
SustainBrands,17990173, 76187,C2,  1,   7,   58,748763105321070593
USER_2,3300732967,  1429,C3,  1,   5,   34,874590496815009793
USER_3,250916233,  1222,C5,  2,  17,  116,719635824636076032 928766098060738562
USER_3,54353360,  1009,C5,  2,  17,  116,719635824636076032 928766098060738562
