interactor,topic,doc_nb,word_nb,char_nb,doc_ids
citizensclimate,T1, 0.306122449,  2.7551020,  18.6734694,
citizensclimate,T2, 0.306122449,  2.7551020,  18.6734694,
citizensclimate,T3,12.551020408,112.9591837, 765.6122449,719635824636076032
citizensclimate,T4, 0.306122449,  2.7551020,  18.6734694,
citizensclimate,T5, 0.306122449,  2.7551020,  18.6734694,
citizensclimate,T6, 0.306122449,  2.7551020,  18.6734694,
citizensclimate,T7, 0.306122449,  2.7551020,  18.6734694,
citizensclimate,T8, 0.306122449,  2.7551020,  18.6734694,
citizensclimate,T9, 0.306122449,  2.7551020,  18.6734694,
ClimateReality,T1, 0.367346939,  6.6122449,  37.8367347,
ClimateReality,T2, 0.367346939,  6.6122449,  37.8367347,
ClimateReality,T3, 0.367346939,  6.6122449,  37.8367347,
ClimateReality,T4, 0.367346939,  6.6122449,  37.8367347,
ClimateReality,T5, 0.367346939,  6.6122449,  37.8367347,
ClimateReality,T6, 0.367346939,  6.6122449,  37.8367347,
ClimateReality,T7, 0.367346939,  6.6122449,  37.8367347,
ClimateReality,T8, 0.367346939,  6.6122449,  37.8367347,
ClimateReality,T9,15.061224490,271.1020408,1551.3061224,980545307426553856
ECOWARRIORSS,T1, 0.196172249,  8.2392344,  49.8277512,
ECOWARRIORSS,T2, 0.004784689,  0.2009569,   1.2153110,
ECOWARRIORSS,T3, 0.004784689,  0.2009569,   1.2153110,
ECOWARRIORSS,T4, 0.052631579,  2.2105263,  13.3684211,
ECOWARRIORSS,T5, 0.004784689,  0.2009569,   1.2153110,
ECOWARRIORSS,T6, 0.387559809, 16.2775120,  98.4401914,
ECOWARRIORSS,T7, 0.004784689,  0.2009569,   1.2153110,
ECOWARRIORSS,T8, 0.339712919, 14.2679426,  86.2870813,
ECOWARRIORSS,T9, 0.004784689,  0.2009569,   1.2153110,
MollyJongFast,T1, 0.060606061,  0.9696970,   6.7272727,
MollyJongFast,T2, 2.484848485, 39.7575758, 275.8181818,
MollyJongFast,T3, 0.060606061,  0.9696970,   6.7272727,
MollyJongFast,T4, 0.060606061,  0.9696970,   6.7272727,
MollyJongFast,T5, 0.060606061,  0.9696970,   6.7272727,
MollyJongFast,T6, 0.666666667, 10.6666667,  74.0000000,
MollyJongFast,T7, 0.060606061,  0.9696970,   6.7272727,
MollyJongFast,T8, 2.484848485, 39.7575758, 275.8181818,
MollyJongFast,T9, 0.060606061,  0.9696970,   6.7272727,
OTHER_USERS,T1, 3.462079796, 78.6165838, 612.8488205,
OTHER_USERS,T2, 7.741208183,118.5455304, 823.5887143,
OTHER_USERS,T3, 5.660128531,108.1955782, 783.9538314,
OTHER_USERS,T4, 5.400335958, 76.0243151, 668.3466518,1062954973456084994
OTHER_USERS,T5, 2.272569714, 39.3763652, 300.6687024,
OTHER_USERS,T6, 5.889110558, 99.6254934, 732.5211067,
OTHER_USERS,T7, 3.227718655, 62.2210599, 459.7319664,
OTHER_USERS,T8, 4.425443109, 85.3808594, 578.4208945,
OTHER_USERS,T9, 5.921405496,119.0142145, 776.9193120,
SustainBrands,T1, 0.014492754,  0.1014493,   0.8405797,
SustainBrands,T2, 0.014492754,  0.1014493,   0.8405797,
SustainBrands,T3, 0.014492754,  0.1014493,   0.8405797,
SustainBrands,T4, 0.014492754,  0.1014493,   0.8405797,
SustainBrands,T5, 0.594202899,  4.1594203,  34.4637681,
SustainBrands,T6, 0.159420290,  1.1159420,   9.2463768,
SustainBrands,T7, 0.159420290,  1.1159420,   9.2463768,
SustainBrands,T8, 0.014492754,  0.1014493,   0.8405797,
SustainBrands,T9, 0.014492754,  0.1014493,   0.8405797,
USER_2,T1, 0.052631579,  0.2631579,   1.7894737,
USER_2,T2, 0.052631579,  0.2631579,   1.7894737,
USER_2,T3, 0.052631579,  0.2631579,   1.7894737,
USER_2,T4, 0.578947368,  2.8947368,  19.6842105,
USER_2,T5, 0.052631579,  0.2631579,   1.7894737,
USER_2,T6, 0.052631579,  0.2631579,   1.7894737,
USER_2,T7, 0.052631579,  0.2631579,   1.7894737,
USER_2,T8, 0.052631579,  0.2631579,   1.7894737,
USER_2,T9, 0.052631579,  0.2631579,   1.7894737,
NA,T1, 8.552748788,130.3923164, 854.7084980,
NA,T2,11.802604514,190.7265404,1233.5924922,869889750358007809
NA,T3,11.782651946,184.7224978,1302.0014890,719578416362713088 782563349372493824
NA,T4,12.609204306,216.2353359,1475.9954454,874590496815009793
NA,T5,10.723977684,146.2877883, 963.5114526,748763105321070593
NA,T6, 9.114837925,150.6040619, 956.3815498,1051599708802768898
NA,T7,12.172549050,176.8357712,1137.2712674,984319007116447744 928766098060738562
NA,T8,10.086360231,174.4765875,1103.0972845,
NA,T9,13.155065556,226.7191006,1426.4405212,980544595464474625
